name,start,stop
z,61.119,61.153999999999996
z,69.472,69.503
z,127.14299999999999,127.175
z,129.442,129.47899999999998
z,254.032,254.062
z,1622.871,1623.0910000000001
z,1623.325,1623.376
z,1623.4289999999999,1623.559
z,1623.665,1623.808
z,1623.844,1623.974
z,1624.024,1624.1670000000001
z,1624.201,1624.336
z,1624.414,1624.715
z,1624.767,1624.9029999999998
z,1624.9470000000001,1625.0710000000001
z,1625.924,1625.964
z,1653.726,1653.757
z,1658.03,1658.108
z,1672.336,1672.369
z,1710.161,1710.2220000000002
z,1712.095,1712.145
z,1713.568,1713.621
z,1713.649,1713.681
z,1713.723,1713.787
z,1713.8139999999999,1713.86
z,1713.9920000000002,1714.057
z,1714.0970000000002,1714.135
z,1714.161,1714.2720000000002
z,1716.61,1716.6529999999998
z,1717.082,1717.145
z,1717.17,1717.264
z,1717.901,1717.9520000000002
z,1720.2479999999998,1720.289
z,1722.234,1722.286
z,1722.8270000000002,1722.894
z,1723.214,1723.266
z,1723.7,1723.7520000000002
z,1723.842,1723.875
z,1724.116,1724.148
z,1724.211,1724.244
z,1725.043,1725.0970000000002
z,1770.648,1770.704
z,1771.2089999999998,1771.257
z,1773.8210000000001,1774.0729999999999
z,1774.109,1774.263
z,1774.5620000000001,1774.635
z,1774.661,1774.963
z,1774.987,1775.095
z,1778.739,1778.78
z,1779.411,1779.483
z,3479.7009999999996,3479.736
z,6100.411999999999,6100.454000000001
z,6100.791,6100.823
z,6396.635,6396.67
z,6453.090999999999,6453.1230000000005
z,6963.764,6963.808000000001
i,6963.934214065905,6963.979216414815
i,6964.043084030059,6964.079221572772
i,6964.166,6964.196999999999
i,6964.273483256524,6964.321014941113
i,6964.4288428030895,6964.46752009907
i,6964.535180907612,6964.571321572771
a,6964.661999999999,6964.789000000001
b,6964.848000000001,6964.94
c,6964.97,6965.08
e,6965.156999999999,6965.265
a,6965.371,6965.4980000000005
b,6965.571999999999,6965.658
c,6965.695,6965.807
d,6965.8859999999995,6965.991999999999
a,6966.115,6966.245
B,6966.304,6966.353
i,6966.622893847683,6966.6631940942625
i,6966.766213221637,6966.804983158957
a,6966.935,6967.068
b,6967.124,6967.214
c,6967.246,6967.361
d,6967.432,6967.539000000001
a,6967.661999999999,6967.794
b,6967.852,6967.943
c,6967.976,6968.085999999999
a,6968.474,6968.597
b,6968.661999999999,6968.7480000000005
c,6968.786999999999,6968.899
z,7005.42,7005.451999999999
z,7577.1140000000005,7577.156
z,7585.656999999999,7585.693
z,7586.024,7586.066999999999
i,7587.331165928921,7587.388447715963
i,7587.629066175502,7587.6724492982075
i,7587.733904255573,7587.778860233514
i,7587.880458404689,7587.925393566847
i,7588.014637061491,7588.050327955012
i,7588.156533369584,7588.190683686372
i,7588.259,7588.293000000001
a,7588.453,7588.579000000001
b,7588.647,7588.74
c,7588.774,7588.891
d,7588.965999999999,7589.075
a,7589.201,7589.328
b,7589.394,7589.486
c,7589.523,7589.632
d,7589.715999999999,7589.825
a,7589.955,7590.0740000000005
b,7590.148,7590.243
c,7590.276,7590.388000000001
i,7590.594226266603,7590.6345274275955
a,7590.78,7590.9130000000005
b,7590.971,7591.069
c,7591.098000000001,7591.210999999999
i,7591.497359072522,7591.536116492291
a,7591.681,7591.809
b,7591.8730000000005,7591.968000000001
c,7592.001,7592.115
i,7592.631515190879,7592.6641060843995
i,7592.771,7592.802
a,7592.888000000001,7593.016
b,7593.08,7593.174
c,7593.206999999999,7593.318
z,7598.307,7598.344
i,7598.60057092224,7598.634717019705
i,7598.7471178279575,7598.77816181576
i,7598.915299402674,7598.946328482427
i,7599.307,7599.3369999999995
i,7599.412814803883,7599.446950353039
a,7599.594,7599.73
b,7599.786,7599.879
c,7599.911999999999,7600.026
d,7600.105,7600.2119999999995
a,7600.338000000001,7600.507
b,7600.531999999999,7600.624
c,7600.659000000001,7600.77
z,7745.584,7745.621
z,7994.767,7994.807
z,8028.36,8028.406999999999
z,8029.621999999999,8029.655
z,8039.734,8039.857
z,8040.108,8040.155
z,8040.714,8040.7609999999995
z,8042.515,8042.554
z,8043.455,8043.494000000001
z,8064.0019999999995,8064.041
z,8072.246,8072.363
z,8072.668000000001,8072.706999999999
z,8078.541,8078.693
z,8078.768,8079.0419999999995
z,8079.09,8079.224
z,8079.27,8079.405
z,8079.441999999999,8079.576
z,8079.619000000001,8079.925
z,8079.974,8080.1140000000005
z,8080.148,8080.285
z,8080.35,8080.419
z,8080.64,8080.687
z,8088.863,8088.903
z,8093.846,8093.984
z,8094.1,8094.148
z,8108.420999999999,8108.4619999999995
i,8109.069831927755,8109.1024060844
i,8109.264262237014,8109.306105029569
i,8109.52972204728,8109.579293039432
i,8109.734949579043,8109.779893566847
i,8109.889218355373,8109.9264388903175
i,8110.057,8110.0869999999995
i,8110.198465788505,8110.235672223651
