name,start,stop
i,73.96666666666667,74.0
i,74.32666666666667,74.36
c,1623.46,1623.5400000000002
a,1623.6933333333334,1623.74
c,1623.8733333333334,1623.9466666666667
d,1624.7666666666669,1624.8666666666668
c,1624.9466666666667,1625.0466666666669
a,1714.1533333333334,1714.1933333333334
i,4927.053333333333,4927.086666666667
i,5864.053333333333,5864.086666666667
i,6963.200000000001,6963.233333333334
i,6963.933333333333,6963.973333333333
i,6963.993333333334,6964.080000000001
i,6964.1,6964.193333333334
i,6964.2733333333335,6964.320000000001
i,6964.426666666667,6964.466666666667
i,6964.533333333334,6964.573333333334
a,6964.653333333334,6964.786666666667
b,6964.846666666667,6964.9400000000005
c,6964.966666666667,6965.080000000001
d,6965.153333333334,6965.26
a,6965.38,6965.506666666667
b,6965.5666666666675,6965.660000000001
c,6965.693333333334,6965.806666666667
d,6965.88,6965.993333333334
a,6966.113333333334,6966.240000000001
b,6966.3,6966.3533333333335
i,6966.620000000001,6966.660000000001
i,6966.766666666667,6966.806666666667
a,6966.933333333333,6967.06
b,6967.120000000001,6967.213333333334
c,6967.240000000001,6967.3533333333335
d,6967.426666666667,6967.533333333334
a,6967.660000000001,6967.786666666667
b,6967.846666666667,6967.9400000000005
c,6967.973333333333,6968.080000000001
i,6968.293333333334,6968.333333333334
a,6968.466666666667,6968.593333333334
b,6968.660000000001,6968.746666666667
c,6968.780000000001,6968.893333333333
i,7005.413333333334,7005.446666666667
i,7587.333333333334,7587.373333333334
i,7587.620000000001,7587.666666666667
i,7587.740000000001,7587.780000000001
i,7587.886666666667,7587.926666666667
i,7588.006666666667,7588.046666666667
i,7588.146666666667,7588.226666666667
i,7588.246666666667,7588.326666666667
a,7588.4400000000005,7588.580000000001
b,7588.64,7588.733333333334
c,7588.7733333333335,7588.886666666667
d,7588.96,7589.073333333334
a,7589.193333333334,7589.326666666667
b,7589.386666666667,7589.486666666668
c,7589.513333333334,7589.633333333334
d,7589.713333333334,7589.826666666667
a,7589.946666666667,7590.080000000001
b,7590.146666666667,7590.240000000001
c,7590.2733333333335,7590.386666666667
i,7590.593333333334,7590.633333333334
a,7590.7733333333335,7590.906666666667
b,7590.966666666667,7591.06
c,7591.093333333334,7591.206666666667
i,7591.500000000001,7591.540000000001
i,7591.593333333334,7591.626666666667
a,7591.673333333334,7591.806666666667
b,7591.866666666667,7591.96
c,7591.993333333334,7592.113333333334
i,7592.626666666667,7592.666666666667
i,7592.76,7592.8
a,7592.88,7593.013333333334
b,7593.073333333334,7593.166666666667
c,7593.200000000001,7593.3133333333335
i,7598.593333333334,7598.633333333334
i,7598.740000000001,7598.786666666667
i,7598.906666666667,7598.9400000000005
i,7599.293333333334,7599.333333333334
i,7599.406666666667,7599.4800000000005
a,7599.586666666667,7599.72
b,7599.780000000001,7599.873333333334
c,7599.906666666667,7600.02
d,7600.1,7600.206666666667
i,7600.240000000001,7600.2733333333335
a,7600.333333333334,7600.466666666667
b,7600.526666666668,7600.620000000001
c,7600.653333333334,7600.766666666667
i,7659.080000000001,7659.113333333334
i,8044.406666666667,8044.4400000000005
d,8079.1066666666675,8079.193333333334
d,8079.280000000001,8079.373333333334
d,8079.460000000001,8079.553333333334
d,8079.633333333334,8079.72
c,8079.806666666667,8079.886666666667
d,8079.9800000000005,8080.073333333334
c,8080.166666666667,8080.253333333334
i,8109.06,8109.1
i,8109.26,8109.293333333334
i,8109.533333333334,8109.5666666666675
i,8109.733333333334,8109.7733333333335
i,8109.886666666667,8109.926666666667
i,8110.040000000001,8110.086666666667
i,8110.193333333334,8110.233333333334
a,8110.333333333334,8110.466666666667
b,8110.526666666668,8110.613333333334
c,8110.646666666667,8110.76
d,8110.826666666667,8110.933333333334
i,8111.580000000001,8111.613333333334
i,8111.693333333334,8111.740000000001
a,8111.806666666667,8111.933333333334
b,8111.993333333334,8112.080000000001
c,8112.113333333334,8112.22
i,8112.366666666667,8112.406666666667
i,8112.4800000000005,8112.52
a,8112.64,8112.7733333333335
b,8112.826666666667,8112.88
c,8112.953333333334,8113.06
i,8170.200000000001,8170.233333333334
i,8235.66,8235.693333333335
i,8260.926666666668,8260.966666666667
i,8318.253333333334,8318.286666666667
i,8354.946666666667,8354.980000000001
i,8440.713333333333,8440.746666666668
i,8479.746666666668,8479.78
i,8776.553333333333,8776.586666666668
i,8998.52,8998.553333333333
i,9488.86,9488.893333333333
c,9722.393333333333,9722.486666666668
i,9751.880000000001,9751.913333333334
i,10245.046666666667,10245.08
i,10464.220000000001,10464.26
i,10464.373333333335,10464.42
i,10464.546666666667,10464.593333333334
i,10464.693333333335,10464.733333333334
i,10464.813333333334,10464.86
i,10464.933333333334,10464.973333333333
a,10465.140000000001,10465.273333333334
b,10465.333333333334,10465.426666666668
c,10465.460000000001,10465.573333333334
d,10465.653333333334,10465.76
a,10465.886666666667,10466.013333333334
b,10466.08,10466.133333333333
c,10466.206666666667,10466.320000000002
d,10466.406666666668,10466.52
i,10466.553333333333,10466.586666666668
a,10466.646666666667,10466.766666666668
i,10467.566666666668,10467.606666666667
